Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4578162,,None,522.65,2,5.38,1f,Nc1ccccc1NC(=O)CCCCCN(CC(=O)NCc1ccccc1)C(=O)c1cccc2ccccc12,IC50,'=',1900,nM,5.72,,,UO_0000065,10.95,0.2,0.34,5.47,0,CHEMBL4338446,Inhibition of recombinant human full length C-terminal FLAG-tagged HDAC2 expressed in baculovirus infected Sf9 insect cells using Boc-Lys(epsilon-acetyl)-AMC as substrate incubated for 90 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4334526,1,Scientific Literature,J Med Chem,2019,CHEMBL3308860,,,,1.9
CHEMBL3309299,,None,399.49,0,2.9,42,CC1(C)CC(=O)Nc2ccc(C(=O)NC[C@H]3CC[C@@H](/C=C/C(=O)NO)CC3)cc21,IC50,'=',310,nM,6.51,,,UO_0000065,16.29,0.31,3.61,6.05,0,CHEMBL3373319,Inhibition of human HDAC2 pre-incubated for 30 mins before substrate addition and measured after 30 mins by HDAC-Glo I/II assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3351757,1,Scientific Literature,Bioorg Med Chem,2014,None,,,,0.31
CHEMBL4514808,,None,470.6,0,3.7,17c,Cc1cc(-c2nc3sc4c(c3c(=O)[nH]2)CCN(C)C4)cc(C)c1OCCCCCC(=O)NO,IC50,'=',58,nM,7.24,,,UO_0000065,15.38,0.3,3.54,6.73,0,CHEMBL4344663,Inhibition of HDAC2 (unknown origin) using biotinylated histone H3 KAc peptide (1 to 21 residues) as substrate by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4342471,1,Scientific Literature,J Med Chem,2020,None,,,,0.058
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,Vorinostat,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',120,nM,6.92,,,UO_0000065,26.18,0.5,4.45,8.82,1,CHEMBL4020981,Inhibition of recombinant human full length HDAC2 using Fluor-de-Lys as substrate after 60 mins by spectrofluorimetric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4020709,1,Scientific Literature,Eur J Med Chem,2017,None,,,,120
CHEMBL5076794,,None,381.43,0,2.5,8b,COc1ccc2c(c1)c(CCNC(C)=O)cn2Cc1ccc(C(=O)NO)cc1,IC50,'=',336,nM,6.47,,,UO_0000065,16.97,0.32,3.97,6.99,0,CHEMBL5036498,Inhibition of recombinant HDAC2 (unknown origin) using Boc-Lys(Ac)-AMC as substrate pre-incubated for 1 hr followed by substrate addition and measured after 2 hrs by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5036306,1,Scientific Literature,J Med Chem,2021,None,TIME = 3.0 hr,INHIBITOR,,336
CHEMBL5072502,,None,515.57,1,4.29,10b,COc1ccc2[nH]cc(CCN(Cc3ccc(C(=O)NO)cc3)C(=O)/C=C/c3ccc(O)c(OC)c3)c2c1,IC50,'=',2851,nM,5.54,,,UO_0000065,10.76,0.2,1.26,4.47,0,CHEMBL5036498,Inhibition of recombinant HDAC2 (unknown origin) using Boc-Lys(Ac)-AMC as substrate pre-incubated for 1 hr followed by substrate addition and measured after 2 hrs by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5036306,1,Scientific Literature,J Med Chem,2021,None,TIME = 3.0 hr,INHIBITOR,,2851
CHEMBL3585962,,None,307.32,0,2.87,6e,O=C(CCCCCCc1nc(-c2ccc(F)cc2)no1)NO,IC50,'=',6260,nM,5.2,,,UO_0000065,16.93,0.32,2.33,5.9,0,CHEMBL3588679,Inhibition of recombinant HDAC2 (unknown origin) incubated for 10 mins using Boc-Lys(acetyl)-AMC fluorogenic substrate by homogeneous fluorescence release assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3585316,1,Scientific Literature,Bioorg Med Chem,2015,None,,,,6.26
CHEMBL3585964,,None,323.78,0,3.39,6g,O=C(CCCCCCc1nc(-c2ccccc2Cl)no1)NO,IC50,'=',1250,nM,5.9,,,UO_0000065,18.23,0.37,2.51,6.69,0,CHEMBL3588679,Inhibition of recombinant HDAC2 (unknown origin) incubated for 10 mins using Boc-Lys(acetyl)-AMC fluorogenic substrate by homogeneous fluorescence release assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3585316,1,Scientific Literature,Bioorg Med Chem,2015,None,,,,1.25
CHEMBL4087968,,None,390.42,0,3.38,5; CS055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3656015,,None,339.18,0,3,BDBM139360,O=C(NO)c1cnc(NC2(c3cc(Cl)cc(Cl)c3)CC2)nc1,IC50,'=',22,nM,7.66,,274428,UO_0000065,22.58,0.48,4.66,8.79,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
